c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
-2.175890197753906250e+02,8.790833282470703125e+01,2.749535560607910156e+01,3.098514556884765625e+00,-2.976740264892578125e+01,2.630517959594726562e+01,2.332085609436035156e+00,-5.519730567932128906e+00,-1.151941108703613281e+01,-2.016801452636718750e+01,-3.677628755569458008e+00,7.138591766357421875e+00,1.425005722045898438e+01
-1.850532989501953125e+02,1.161483306884765625e+02,2.199724769592285156e+01,-4.621717929840087891e+00,-2.647641754150390625e+01,2.208584594726562500e+01,-5.236886024475097656e+00,-1.297028064727783203e+00,-1.207251262664794922e+01,-1.505184364318847656e+01,5.063045024871826172e-01,1.696701240539550781e+01,1.731369781494140625e+01
-1.772879638671875000e+02,1.415063781738281250e+02,1.287579154968261719e+01,-3.188043117523193359e+00,-2.283754730224609375e+01,1.175027465820312500e+01,-1.118603134155273438e+01,-5.704318046569824219e+00,-1.669136619567871094e+01,-1.144039249420166016e+01,4.797502040863037109e+00,1.466868400573730469e+01,1.517093658447265625e+01
-1.894425048828125000e+02,1.432831420898437500e+02,8.986213684082031250e+00,1.782576751708984375e+01,-1.214060974121093750e+01,9.752509117126464844e+00,-1.814114761352539062e+01,-1.643982124328613281e+01,-1.586190319061279297e+01,-1.208054447174072266e+01,1.082584857940673828e-01,9.924489021301269531e+00,1.035032939910888672e+01
-2.068644256591796875e+02,1.332330322265625000e+02,3.672561168670654297e+00,5.241299057006835938e+01,2.244523763656616211e-01,-4.141911029815673828e+00,-1.615283203125000000e+01,-8.109375000000000000e+00,-1.139937210083007812e+01,-2.157485389709472656e+01,-5.394337654113769531e+00,1.055300045013427734e+01,5.053209304809570312e+00
-2.399312438964843750e+02,1.298098297119140625e+02,1.187073135375976562e+01,6.518508911132812500e+01,2.199215650558471680e+00,-7.072064399719238281e+00,-8.594594955444335938e+00,-1.127482771873474121e+00,-1.248835659027099609e+01,-2.770092010498046875e+01,-8.251779556274414062e+00,1.266370582580566406e+01,3.436257362365722656e+00
-2.953702392578125000e+02,1.251421051025390625e+02,2.895734024047851562e+01,4.618688583374023438e+01,3.335379123687744141e+00,7.079763889312744141e+00,-2.951578497886657715e-01,-2.001546144485473633e+00,-8.422924041748046875e+00,-1.639839172363281250e+01,-7.284287452697753906e+00,7.229910373687744141e+00,1.582354068756103516e+00
-2.828463439941406250e+02,1.110520629882812500e+02,2.297891235351562500e+01,5.553019714355468750e+01,4.838469028472900391e+00,3.501322031021118164e+00,-1.009045314788818359e+01,-1.482098197937011719e+01,8.514519691467285156e+00,-1.533501434326171875e+01,-1.691383361816406250e+01,1.318590354919433594e+01,3.690646171569824219e+00
-2.538496398925781250e+02,1.178357391357421875e+02,1.681780242919921875e+01,7.143285369873046875e+01,1.597993659973144531e+01,-7.608819961547851562e+00,-1.760937881469726562e+01,-1.973964691162109375e+01,1.320354938507080078e+00,-2.217625427246093750e+01,-1.276435184478759766e+01,1.312418746948242188e+01,1.655896663665771484e+00
-2.683237304687500000e+02,1.211541595458984375e+02,1.430705261230468750e+01,7.268150329589843750e+01,2.351912307739257812e+01,-1.718082809448242188e+01,-1.210992908477783203e+01,-1.170746421813964844e+01,-5.268016815185546875e+00,-2.649422645568847656e+01,-2.545238018035888672e+00,9.988003730773925781e+00,-2.380584716796875000e+00
-2.863596496582031250e+02,1.176932983398437500e+02,1.625662994384765625e+01,7.417800903320312500e+01,2.316208648681640625e+01,-1.959947395324707031e+01,-1.235637950897216797e+01,-4.385143280029296875e+00,-1.138284683227539062e+01,-2.705725860595703125e+01,1.926577329635620117e+00,1.363808727264404297e+01,-3.401698112487792969e+00
-2.867774353027343750e+02,1.216734466552734375e+02,1.502615165710449219e+01,7.998046875000000000e+01,2.451855468750000000e+01,-1.700415992736816406e+01,-1.988771629333496094e+01,-2.553672313690185547e+00,-2.368104696273803711e+00,-3.178809738159179688e+01,-6.661378860473632812e+00,1.928478240966796875e+01,-6.371858596801757812e+00
-2.890845336914062500e+02,1.200683441162109375e+02,8.752037048339843750e+00,8.760766601562500000e+01,2.142865943908691406e+01,-1.581380462646484375e+01,-1.760123825073242188e+01,-5.628892898559570312e+00,6.332261085510253906e+00,-3.234432220458984375e+01,-1.381905651092529297e+01,1.986310958862304688e+01,-7.882559299468994141e+00
-2.757789001464843750e+02,1.200758895874023438e+02,1.152008056640625000e+01,7.219212341308593750e+01,1.773584747314453125e+01,-7.221610069274902344e+00,-1.189957237243652344e+01,-5.853431224822998047e+00,1.442106008529663086e+00,-3.191246795654296875e+01,-1.374573898315429688e+01,1.228609848022460938e+01,-6.017629146575927734e+00
-2.521735076904296875e+02,1.236835327148437500e+02,7.523011207580566406e+00,3.345998382568359375e+01,2.364536476135253906e+01,9.007681846618652344e+00,-3.210349559783935547e+00,-7.160955071449279785e-01,1.070407104492187500e+01,-2.293313980102539062e+01,-1.540515899658203125e+01,4.460575103759765625e+00,-1.176653146743774414e+00
-2.437722930908203125e+02,1.220365066528320312e+02,-1.531614017486572266e+01,1.481042194366455078e+01,2.746615600585937500e+01,6.401069641113281250e+00,-4.382188022136688232e-01,7.989574432373046875e+00,2.271185493469238281e+01,-1.914721107482910156e+01,-1.155864715576171875e+01,4.509881019592285156e+00,2.692460417747497559e-01
-2.172183380126953125e+02,9.754780578613281250e+01,-1.209038352966308594e+01,8.110205650329589844e+00,1.672789382934570312e+01,1.174967384338378906e+01,-1.086125373840332031e+01,2.914896774291992188e+01,2.636688232421875000e+01,-1.850344085693359375e+01,-1.479050755500793457e+00,-5.596776008605957031e-01,8.425601720809936523e-01
-1.857701263427734375e+02,6.511472320556640625e+01,1.987820625305175781e+01,1.318977546691894531e+01,-1.331195712089538574e+00,2.168518829345703125e+01,-1.789686203002929688e+01,3.218673706054687500e+01,3.108897209167480469e+01,-1.393278694152832031e+01,-5.968052148818969727e-02,4.430521011352539062e+00,3.267651081085205078e+00
-1.765170745849609375e+02,7.404675292968750000e+01,3.879397583007812500e+01,3.104425430297851562e+01,-5.088588714599609375e+00,7.216324329376220703e+00,-3.907770156860351562e+01,7.289172172546386719e+00,1.481932258605957031e+01,-1.603281402587890625e+01,-1.281368494033813477e+00,6.794733047485351562e+00,1.261825084686279297e+01
-1.724667205810546875e+02,1.079296722412109375e+02,1.018698883056640625e+01,4.433826446533203125e+01,-2.086657047271728516e+00,-4.795331954956054688e+00,-3.785304260253906250e+01,-7.329027175903320312e+00,1.087112808227539062e+01,-6.714357376098632812e+00,6.918759822845458984e+00,1.249540710449218750e+01,1.180035018920898438e+01
-1.803155822753906250e+02,1.196086120605468750e+02,-6.058636665344238281e+00,5.775831985473632812e+01,-1.688816547393798828e+00,-1.187001228332519531e+01,-3.049092483520507812e+01,-1.627305603027343750e+01,1.181953144073486328e+01,-8.955809593200683594e+00,9.733488082885742188e+00,1.337411975860595703e+01,4.660448074340820312e+00
-2.178643493652343750e+02,1.218623275756835938e+02,6.678353309631347656e+00,6.385071563720703125e+01,1.941719174385070801e+00,-9.779956817626953125e+00,-2.014397621154785156e+01,-1.452662277221679688e+01,6.577719688415527344e+00,-1.774583053588867188e+01,4.637611389160156250e+00,1.239854049682617188e+01,1.436893939971923828e+00
-2.220049591064453125e+02,6.814174652099609375e+01,1.911971092224121094e+01,4.576849746704101562e+01,6.120594501495361328e+00,9.988728523254394531e+00,-3.461861610412597656e+00,-2.467440032958984375e+01,1.515885162353515625e+01,-8.885480880737304688e+00,-1.678045272827148438e+01,1.940229415893554688e+01,1.131860923767089844e+01
-1.914233093261718750e+02,4.596140289306640625e+01,2.127877807617187500e+01,3.863059234619140625e+01,2.329353332519531250e+00,1.167805099487304688e+01,-2.987314224243164062e+00,-2.150595855712890625e+01,2.048329162597656250e+01,-1.083419036865234375e+01,-2.580075645446777344e+01,1.738015365600585938e+01,7.767864227294921875e+00
